Year,Province,GDP,CPI,Population,Graduations_College,Graduations_University,Total_retail_sales,First_industry,Second_industry,Third_industry,Natural_Population_growth_rate,unemployment_rate
2013,Hainan,3115.9,102.7735787,920,2.168,2.4391,1090.89202,723.6,750.9,1641.4,8.69,2.17
2013,Hubei,25378,102.820508,5798,19.589,20.0997,11035.94498,2883.7,11846.3,10648,4.93,3.49
2013,Hunan,23545.2,102.5445517,6600,14.7211,15.5381,9509.523635,2589.2,10913.8,10042.3,6.54,4.2
2013,Gansu,6014.5,103.1630665,2537,5.4761,6.5275,2368.82962,658.1,2674,2682.4,6.08,2.3
2013,Fujian,22503.8,102.4717993,3885,9.0668,10.6147,8275.3,1745.2,11805.5,8953.2,6.19,3.55
2013,Xizang,828.2,103.550769,317,0.4184,0.4903,322.19827,81.2,270.8,476.2,10.38,2.47
2013,Guizhou,7973.1,102.5431339,3632,4.7869,5.3041,2601.19742,999.3,3171,3802.7,5.9,3.26
2013,Liaoning,19208.8,102.4274415,4365,9.6707,15.7724,10581.43795,1973.4,9204.2,8031.2,-0.03,3.35
2013,Chongqing,13027.6,102.652756,3011,7.4978,9.5437,5055.76827,941.2,5988.6,6097.7,3.6,3.4
2013,Shannxi,15905.4,103.0460652,3804,12.7705,15.3663,5245.04118,1463.5,8418,6023.9,3.86,3.32
2013,Qinghai,1713.3,103.948384,571,0.5817,0.7403,549.58162,204.7,681,827.6,8.03,3.31
2013,Heilongjiang,11849.1,102.2442969,3666,6.6671,12.1406,6251.17212,2539.6,5202.7,4106.9,0.78,4.44
2014,Shanghai,25269.8,102.7,2467,4.5779,9.2992,9303.490699,132,8633.3,16504.5,3.14,4.06
2014,Yunnan,14041.7,102.4,4653,5.7802,9.121,4632.867387,2007.4,5376.5,6657.7,6.2,3.98
2014,Neimenggu,12158.2,101.6,2449,5.5147,5.6653,5657.555293,1638,5114.4,5405.8,3.56,3.59
2014,Beijing,22926,101.6,2171,3.8083,12.252,9637.99589,159.2,4433,18333.9,4.83,1.31
2014,Jilin,9966.5,102,2642,4.8231,11.2006,6080.89982,1270.2,3804.9,4891.5,0.4,3.4
2014,Sichuan,28891.3,101.6,8139,19.1134,18.359,12392.98466,3524.7,13082.7,12283.9,3.2,4.15
2014,Tianjin,10640.6,101.9,1429,5.7997,7.9342,4738.65431,158.8,4615.5,5866.3,2.14,3.5
2014,Ningxia,2473.9,101.9,678,1.3157,1.5701,737.1768182,216.9,1113.7,1143.4,8.57,4.02
2014,Anhui,22519.7,101.6,5997,15.2642,14.3683,7957.033343,2295,10982.6,9242.1,6.97,3.21
2014,Shandong,50774.8,101.9,9808,25.1897,23.2438,25111.52629,4662.8,23588,22524,7.39,3.3
2014,Shanxi,12094.7,101.7,3528,10.1829,9.1936,5717.888137,736.6,6378,4980.1,4.99,3.4
2014,Guangdong,68173,102.3,11489,26.0749,23.2597,28471.14511,3038.7,31930.4,33204,6.1,2.44
